"","p.geomean","stat.mean","p.val","q.val","set.size","exp1"
"ath03010 Ribosome",2.36554425387817e-27,11.5469012410361,2.36554425387823e-27,2.6730650068824e-25,261,2.36554425387816e-27
"ath00195 Photosynthesis",7.59203462488042e-06,4.58707529768602,7.59203462488045e-06,0.000428949956305745,44,7.59203462488042e-06
"ath04145 Phagosome",3.23657961672959e-05,4.11916211558552,3.2365796167296e-05,0.00121911165563482,71,3.23657961672959e-05
"ath01230 Biosynthesis of amino acids",5.46439764270971e-05,3.90817316065718,5.46439764270971e-05,0.00154369233406549,201,5.4643976427097e-05
"ath00020 Citrate cycle (TCA cycle)",0.00112168246382112,3.12785319743139,0.00112168246382113,0.0253500236823574,58,0.00112168246382112
"ath00190 Oxidative phosphorylation",0.00184774817376056,2.93953163042347,0.00184774817376056,0.0341535903236162,104,0.00184774817376056
"ath00966 Glucosinolate biosynthesis",0.00218766220005076,3.0499841975558,0.00218766220005076,0.0341535903236162,22,0.00218766220005076
"ath01200 Carbon metabolism",0.0026379157100585,2.80312156939237,0.00263791571005851,0.0341535903236162,237,0.0026379157100585
"ath01210 2-Oxocarboxylic acid metabolism",0.00272019745940306,2.83113400342233,0.00272019745940306,0.0341535903236162,63,0.00272019745940306
"ath00040 Pentose and glucuronate interconversions",0.00512783532892933,2.59618794229206,0.00512783532892934,0.0579445392169015,94,0.00512783532892933
"ath03030 DNA replication",0.00754132510615941,2.4901524684324,0.00754132510615939,0.0774699760905465,37,0.00754132510615941
"ath01240 Biosynthesis of cofactors",0.00896222075142944,2.37666450458096,0.00896222075142944,0.0843942454092939,215,0.00896222075142945
"ath00100 Steroid biosynthesis",0.0116938507904958,2.32558171213694,0.0116938507904958,0.101117475364702,33,0.0116938507904958
"ath00520 Amino sugar and nucleotide sugar metabolism",0.0125278288062463,2.25552245013749,0.0125278288062463,0.101117475364702,120,0.0125278288062463
"ath00940 Phenylpropanoid biosynthesis",0.0144615079116814,2.20008233350655,0.0144615079116814,0.108943359601333,113,0.0144615079116814
"ath00710 Carbon fixation in photosynthetic organisms",0.0171019191056529,2.14451677269925,0.0171019191056529,0.120782303683674,59,0.0171019191056529
"ath00970 Aminoacyl-tRNA biosynthesis",0.019416521022602,2.10341069439972,0.019416521022602,0.129062757385531,49,0.019416521022602
"ath00240 Pyrimidine metabolism",0.0239030984659516,2.00461604490734,0.0239030984659516,0.150058340369585,52,0.0239030984659516
"ath00270 Cysteine and methionine metabolism",0.0289400133540824,1.90678340115233,0.0289400133540824,0.172116921526911,110,0.0289400133540824
"ath00513 Various types of N-glycan biosynthesis",0.0329647895262747,1.88848762547084,0.0329647895262748,0.186251060823452,29,0.0329647895262747
"ath00061 Fatty acid biosynthesis",0.0527022127636452,1.63847402932673,0.0527022127636452,0.283588097251996,40,0.0527022127636452
"ath03008 Ribosome biogenesis in eukaryotes",0.0552356523960319,1.60784237402892,0.0552356523960319,0.2837103963978,79,0.0552356523960318
"ath00010 Glycolysis / Gluconeogenesis",0.0638676365842689,1.52897869701776,0.0638676365842689,0.313784475392278,110,0.0638676365842689
"ath00920 Sulfur metabolism",0.0688394397542667,1.50093227657605,0.0688394397542667,0.317070735944036,39,0.0688394397542667
"ath00030 Pentose phosphate pathway",0.0733999123981838,1.46109172669548,0.0733999123981839,0.317070735944036,57,0.0733999123981838
