gene_id,Mmus_C57-6J_KDN_FLT_Rep1_M23,Mmus_C57-6J_KDN_FLT_Rep2_M24,Mmus_C57-6J_KDN_FLT_Rep3_M25,Mmus_C57-6J_KDN_FLT_Rep4_M26,Mmus_C57-6J_KDN_FLT_Rep5_M27,Mmus_C57-6J_KDN_FLT_Rep6_M28,Mmus_C57-6J_KDN_GC_Rep1_M33,Mmus_C57-6J_KDN_GC_Rep2_M34,Mmus_C57-6J_KDN_GC_Rep3_M35,Mmus_C57-6J_KDN_GC_Rep4_M36,Mmus_C57-6J_KDN_GC_Rep5_M37,Mmus_C57-6J_KDN_GC_Rep6_M38
ENSMUSG00000000001,2976.815029,3058.189668,2947.780354,3209.315288,3255.67942,3101.735358,3265.650541,3183.965545,3370.219086,3078.163836,3305.65562,2979.446051
ENSMUSG00000000028,59.76647738,56.30052463,79.1689699,77.39885868,76.27286985,93.24740521,56.20277868,75.25098361,75.10701494,65.71125232,48.99173392,67.88380013
ENSMUSG00000000031,21.21999431,22.0157572,18.70544473,22.3952575,21.41431572,17.22566241,12.21159023,18.04566413,36.67188991,28.37047594,24.08248698,16.20218926
ENSMUSG00000000037,40.08225899,37.8839113,17.3328453,37.93924644,32.58315949,24.38788835,30.75478843,17.0192566,5.915556686,12.09221088,16.65221445,47.90235712
ENSMUSG00000000049,0,0.985498833,3.639998816,9.124099784,0,3.534619456,0.935309124,3.615634046,9.342457189,1.723900674,0.877086775,0.892226169
ENSMUSG00000000056,1254.102654,1281.898615,1661.11949,1202.704574,1454.198553,1483.054302,1573.536544,1369.83027,1496.561138,1509.918541,1489.910752,1387.977274
ENSMUSG00000000058,1228.412383,1665.032342,1213.268684,1398.781781,1344.089308,1498.080682,1527.071125,1545.616532,1566.463262,1500.799743,1247.772241,1389.697235
ENSMUSG00000000078,3223.170552,2476.647353,2084.13321,2044.483936,2030.27795,2302.013308,2032.413464,2425.236373,1834.049428,2102.024743,2314.223811,2433.646502
ENSMUSG00000000085,883.5772317,841.019294,874.8328885,723.5084564,831.2000585,815.0084013,933.7779282,723.1342643,817.2391471,919.195844,804.2073353,760.2388151
ENSMUSG00000000088,6485.009214,6452.641945,6182.919439,5929.951477,6096.97397,5248.535662,5506.458954,5398.249228,6494.701602,6132.010711,6310.095608,5396.597502
ENSMUSG00000000093,3602.042329,3948.531878,2913.409744,3392.244319,2993.560888,3019.966935,2759.893628,3576.141071,3180.224379,3506.208706,3039.17831,3227.080211
ENSMUSG00000000094,3.207545363,5.63045873,2.495478132,0,0,2.019170417,2.131682118,0,2.130335499,0.984180337,0,2.034236647
ENSMUSG00000000120,99.5511205,130.4973582,90.6287281,113.2164596,112.7195944,104.9952067,143.5400108,114.5954647,103.3723462,84.80243253,81.17878922,143.0259953
ENSMUSG00000000126,76.24864784,98.14894204,93.92159707,58.66850045,88.37842229,106.9922158,106.6021383,140.1702588,86.49644955,103.3209677,64.35030275,83.60111167
ENSMUSG00000000127,587.3295125,558.9885,545.7534023,581.1977307,611.8730636,625.1645611,595.5135009,532.4500805,524.1807078,543.1466378,540.1251703,548.4334895
ENSMUSG00000000131,1915.539665,2200.615871,1997.968587,2037.01983,1872.217738,1767.056894,2091.818181,2205.570579,1996.99025,1849.82749,2018.990399,2115.80322
ENSMUSG00000000134,1161.889721,1051.92197,1185.112515,1040.006946,1054.872591,1124.35223,1010.927216,1054.968307,1145.861777,1127.99451,978.0605136,1070.778067
ENSMUSG00000000142,178.0962442,259.9437503,188.9424883,127.0843586,192.9782144,200.6010925,252.6653341,387.2262501,158.9755609,248.5452229,210.5316659,219.2330562
ENSMUSG00000000148,587.2523427,670.6813328,606.3914584,529.1170887,526.0349061,554.8243854,563.3651445,692.4856484,645.3141136,624.8443997,607.1455508,596.4590071
ENSMUSG00000000149,5887.135346,5502.491411,4768.751654,5567.987237,4566.773862,5038.103184,5062.553743,5427.799157,5203.866421,6092.731522,5455.465953,5279.455298
ENSMUSG00000000154,8569.209181,7258.383203,6879.200783,5996.722494,6205.621504,5680.700606,6037.252453,6173.442873,8620.971564,6574.137152,7866.793555,6033.530678
ENSMUSG00000000159,1127.242319,1020.586341,1261.183701,1173.244701,1227.091651,1131.468928,1189.269142,1220.370723,1099.394107,1306.978734,1167.377162,1195.278754
ENSMUSG00000000167,62.71270417,77.85661844,67.50005005,82.38999448,92.07737737,70.71132528,71.85020385,44.45223859,43.72155725,54.44224766,71.15271464,42.176852
ENSMUSG00000000168,4302.293605,4483.397313,4162.144636,4477.008075,4179.244426,3934.76057,3886.595024,3782.824833,4473.750675,4351.133939,4373.132078,3820.50178
ENSMUSG00000000171,6053.877482,6063.822259,6111.573762,5805.828179,5721.847582,5036.707183,5819.562759,5526.089093,6821.213688,6392.300684,6290.796784,5442.747228
ENSMUSG00000000184,1234.455576,1213.624053,1091.737927,1795.675358,1172.897671,1948.271329,1286.732879,1267.455233,1058.547289,1148.827303,1122.326551,1274.551022
ENSMUSG00000000194,1962.744511,1811.328635,2059.974811,2259.168649,2285.339481,2006.299928,1998.927048,1899.645439,2357.57865,2239.846284,2034.641627,2443.10937
ENSMUSG00000000197,13.20682377,8.939965711,9.538713753,15.57054427,9.624571993,11.94738845,11.0031018,4.556300671,8.506319173,11.3345845,15.85990359,12.55074473
ENSMUSG00000000202,0,0.9417627,3.478386141,6.035494418,0,3.292449118,0,1.727715302,0,0.985673957,2.674991498,0.851550253
ENSMUSG00000000204,5.00897832,5.988306671,6.187521404,36.20433983,10.04905777,4.473887588,1.888683419,10.46488169,2.831407829,2.440006405,8.074991118,15.29537957
ENSMUSG00000000215,1.985029256,1.135119942,2.516520722,0,0.942551538,1.018595088,3.170502939,1.040730195,3.006847522,0,0.961337553,0
ENSMUSG00000000216,2081.746341,2125.629325,2001.840826,2447.830289,1778.764309,1922.705425,2156.472898,1860.913368,1897.727229,2122.859762,1989.035181,2055.884479
ENSMUSG00000000223,2.794673114,3.357999071,2.480468321,1.548144667,4.949737001,3.612154026,7.079616794,8.330136291,4.00256975,5.134615542,7.795450333,3.56061222
ENSMUSG00000000244,25.30940943,15.50949188,16.35357944,31.21911026,18.83796196,14.83813394,15.5798024,21.24159502,16.37334707,17.62511617,25.82986025,32.26642781
ENSMUSG00000000247,26.24766283,27.64523333,20.6142816,27.34201988,11.99847629,24.41858755,25.23334384,50.39833615,12.14155619,12.67960132,43.96646131,33.57387502
ENSMUSG00000000253,2509.374092,2109.781194,2162.112781,2081.937758,1926.879929,1952.845443,1720.182517,1576.605645,1788.419595,1547.049533,1822.875845,1505.454629
ENSMUSG00000000266,961.5155731,882.9908194,942.0091896,916.2414827,915.5783529,834.2011195,929.9580075,1165.374144,1060.881658,972.4780935,1120.734321,960.1599918
