"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000002250",1459.22295604332,-0.926291996327617,0.111262815836808,-8.32526113383859,8.41430445953567e-17,1.24077333560313e-12
"ENSMUSG00000007872",1719.37471321401,0.818828689463905,0.112282025523986,7.29260703699173,3.04013858901495e-13,2.24149418168072e-09
"ENSMUSG00000026077",437.035106126076,-1.19181187834711,0.165587292553195,-7.19748393714596,6.13337718329967e-13,2.31605123092696e-09
"ENSMUSG00000040998",14579.5927753504,-0.506307382932511,0.07037710225794,-7.19420616490911,6.28252063183768e-13,2.31605123092696e-09
"ENSMUSG00000021775",2804.9231429689,0.84251111937116,0.12333119405113,6.83128973049491,8.41545732316598e-12,2.48188667374811e-08
"ENSMUSG00000028957",533.832319380033,1.22576950025231,0.185047460010715,6.62408173655195,3.49413393233528e-11,8.58741649436933e-08
"ENSMUSG00000074261",682.548974449807,-0.372694589171152,0.0564963107908491,-6.59679515271144,4.20140629470626e-11,8.85056246024836e-08
"ENSMUSG00000055116",595.777709015808,-1.04227184520629,0.161528151706415,-6.4525708626981,1.09968433245281e-10,2.02699314579365e-07
"ENSMUSG00000027111",8051.6099619084,-0.466247785630284,0.0729806342051777,-6.38865077986956,1.67355758315545e-10,2.74203112457892e-07
"ENSMUSG00000031167",1884.65997156324,0.533986749965995,0.0856834113030913,6.23209022429211,4.60252251677892e-10,6.7868797032422e-07
"ENSMUSG00000038224",1377.3044455552,-0.773628278086886,0.125977982389574,-6.14098006185336,8.20138788683552e-10,1.04231660588857e-06
"ENSMUSG00000043091",2086.13086465745,-0.429029082675059,0.069924194807895,-6.13563136270277,8.48216416022165e-10,1.04231660588857e-06
"ENSMUSG00000020889",3030.54459012672,0.741190631552703,0.12444863205027,5.9557957314734,2.58809430242982e-09,2.93569527566386e-06
"ENSMUSG00000022389",4694.25024014533,0.649006585963119,0.109780764052257,5.91184249413847,3.38301957212271e-09,3.56328618646582e-06
"ENSMUSG00000026188",261.259457624389,-0.972011212926303,0.167370620439081,-5.8075378484965,6.33982231620681e-09,6.23246799165238e-06
"ENSMUSG00000059824",888.599304051887,2.25892600101126,0.401260494847472,5.62957487721268,1.8065433467436e-08,1.66495551194257e-05
"ENSMUSG00000027314",485.364557758962,0.586099825149341,0.104980446700823,5.58294276285211,2.36482590372176e-08,1.93731793201561e-05
"ENSMUSG00000074715",529.019905297788,-2.05046036690919,0.36711939420153,-5.58526844207962,2.33339503026892e-08,1.93731793201561e-05
"ENSMUSG00000042487",672.412285511554,-0.488086267852795,0.0882625081179362,-5.52993879576383,3.20342535046813e-08,2.48619527463174e-05
"ENSMUSG00000034450",58.878421490436,1.88422814035073,0.343207838340729,5.49004984693885,4.01820325193046e-08,2.96262125764833e-05
"ENSMUSG00000002797",1019.38911376426,-0.526024769577252,0.0970292381204516,-5.42130165882832,5.91666193493655e-08,3.98348722242063e-05
"ENSMUSG00000022580",660.306019516933,-0.340436047471742,0.0628052246986594,-5.42050520645632,5.94308415117686e-08,3.98348722242063e-05
"ENSMUSG00000021135",233.18516052476,-1.23707022735209,0.230688343703259,-5.36251727110827,8.20701185698396e-08,5.26176508013415e-05
"ENSMUSG00000006517",862.055044022697,-0.360626042006302,0.0675044844522762,-5.34225311003233,9.17983532731202e-08,5.64024382235596e-05
"ENSMUSG00000041920",658.854187432082,-0.698889271749541,0.131111193845271,-5.33050803102536,9.79384020061518e-08,5.77679870393086e-05
"ENSMUSG00000030256",273.098127386728,0.978809771304734,0.184450191823941,5.30663460756395,1.11667705884305e-07,6.33327688834602e-05
"ENSMUSG00000038375",8723.47902648429,-0.311304613338365,0.0588490517150608,-5.28988325666928,1.22394457267286e-07,6.6845506180126e-05
"ENSMUSG00000110195",1336.17201799175,0.323027458567985,0.0612548312976121,5.27350172590514,1.33844994665571e-07,7.04885104049467e-05
"ENSMUSG00000025019",1384.81432391408,0.255072520804322,0.0485409627511761,5.25478907601893,1.4819420980885e-07,7.30055822067116e-05
"ENSMUSG00000025185",667.838579014355,-0.776632554810018,0.147962372507814,-5.24885172930706,1.53050194155138e-07,7.30055822067116e-05
"ENSMUSG00000053411",1558.94881728228,0.34839587959763,0.066382127988144,5.24833852358356,1.53477081812563e-07,7.30055822067116e-05
"ENSMUSG00000025815",905.505276660167,0.590376522573773,0.11261683920082,5.24234676415493,1.5854704844924e-07,7.30604617635156e-05
"ENSMUSG00000017776",4923.50301137894,0.142722329841949,0.0272647031536222,5.23469223331661,1.65259996643595e-07,7.38461791062559e-05
"ENSMUSG00000020326",7134.44340736579,-0.348381246203579,0.0668328478971357,-5.21272483763945,1.86086817029757e-07,8.07069471741412e-05
"ENSMUSG00000032374",1489.07714143927,-0.331099052890326,0.0636491561751046,-5.20193939381446,1.97219546092376e-07,8.16722140409588e-05
"ENSMUSG00000038393",25165.5179415871,0.679928145194332,0.130757783422281,5.19990571420527,1.99389645020651e-07,8.16722140409588e-05
"ENSMUSG00000043681",102.098910109385,-0.813100823738513,0.156909470769955,-5.18197416477555,2.19549631192101e-07,8.74994286907764e-05
"ENSMUSG00000090264",211.20652314804,-0.853021422584238,0.165087837578902,-5.16707611592856,2.37784444850696e-07,9.22728795728518e-05
"ENSMUSG00000026827",2682.80022237232,-0.584098742438505,0.113217338908633,-5.15909266256358,2.48149480718875e-07,9.38259549405263e-05
"ENSMUSG00000014158",3542.20804129918,-0.245022378144747,0.047614118972586,-5.14600256041321,2.66095791109968e-07,9.80962133926896e-05
"ENSMUSG00000006127",1272.87751960687,0.237024919864902,0.0463078413815467,5.11846185858611,3.08037515074616e-07,0.000110788321885129
"ENSMUSG00000042659",810.711180154763,0.363716129230383,0.0712355745588064,5.10582151520555,3.29360461017736e-07,0.000115636889480179
"ENSMUSG00000050100",341.505387111425,0.725904204592966,0.142639080085041,5.08909763130961,3.59771362983956e-07,0.000123376477175847
"ENSMUSG00000021364",2282.10181272438,-0.353514861324281,0.0699782544447831,-5.05178164458538,4.37707918503908e-07,0.000146691840142241
"ENSMUSG00000050310",2557.59398876341,0.157308772661753,0.0313250518424599,5.0218200261213,5.11841332534494e-07,0.000167724717545637
"ENSMUSG00000054793",1287.40452293626,0.220016576264859,0.0440078500711938,4.99948477166976,5.74837118736859e-07,0.000184272785932472
"ENSMUSG00000025511",662.861832158342,0.436800576035818,0.0876480421986372,4.98357481900045,6.24201613778015e-07,0.000195839936101502
"ENSMUSG00000026179",3192.6414655459,-0.277397266721291,0.0559428596700914,-4.95858217397484,7.10095023856385e-07,0.000218147108787214
"ENSMUSG00000031320",6918.74087618565,0.256203743787499,0.0519009304955713,4.93639981675011,7.95778857898105e-07,0.000239480715072764
